Basin	Parameter	nYrs	1900	1901	1902	1903	1904	1905	1906	1907	1908	1909	1910	1911	1912	1913	1914	1915	1916	1917	1918	1919	1920	1921	1922	1923	1924	1925	1926	1927	1928	1929	1930	1931	1932	1933	1934	1935	1936	1937	1938	1939	1940	1941	1942	1943	1944	1945	1946	1947	1948	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
Danish_Straits	C1	1																																																																								1.548481975	1.868187326	1.51067162	2.082587672	1.353897235	1.230177317	1.081835131	1.44420354	1.309893252	1.779395459	1.581718663	2.482990182	2.528004964	1.683288639	1.886221201	1.95473629	1.709766841	1.622584704	1.90113148	1.763921479	1.951314475	1.533421761	1.890674166	1.98514751	1.758920258	1.268849283	1.288306887	1.278728465	1.461087091	1.616072513	1.360014609	1.401385812	1.40604905	1.073442401	1.183263286	1.117077768	1.659241232	1.34954058	1.327570032	1.263010542	1.220141115	1.31530619
Danish_Straits	C1	5																																																																							1.708334651	1.642446974	1.752482148	1.672765166	1.609104234	1.451833795	1.438540179	1.284001295	1.36910094	1.439409209	1.719640219	1.936400504	2.011079581	2.03244473	2.107048255	1.952403587	1.771319535	1.814888103	1.790428159	1.789743796	1.75447478	1.808092672	1.824895878	1.823895634	1.687402595	1.638379621	1.51599048	1.411178397	1.382608848	1.400841913	1.423457698	1.448921815	1.371392877	1.284831032	1.236243663	1.287814747	1.276513053	1.32733858	1.343288031	1.3639007	1.295113692	1.28150697	1.266152616
Arkona_Basin	C1	1																																																																							0.923381171	1.214902821	1.395110076	1.038406884	1.129005613	1.483837485	1.571363931	1.36175155	1.722824541	1.505573319	1.50451905	1.44837352	2.816924455	1.977339847	1.586180689	1.713003359	1.848444145	1.821000837	1.638082052	1.368646277	1.751150113	2.012890719	1.795166936	1.889081652	1.764507742	1.568230588	1.587282112	1.333557252	1.272129327	1.494330936	1.731831793	1.538160374	1.425175577	1.64766303	1.059434907	1.339532961	1.387476803	1.653108018	1.449867406	1.580290342	1.612213409	1.152085476	1.201499024
Arkona_Basin	C1	5																																																																						1.069141996	1.177798022	1.142950238	1.140161313	1.252252576	1.323544798	1.316873093	1.453756624	1.529070165	1.533206478	1.508608396	1.799642977	1.850546038	1.866667512	1.908364374	1.988378499	1.789193775	1.721342216	1.677835334	1.685464685	1.718354	1.713187219	1.763387139	1.842559432	1.805975527	1.720853806	1.628531869	1.505141404	1.451106043	1.483826284	1.474001937	1.492325602	1.567432342	1.480453136	1.40199337	1.371856656	1.417443144	1.377884019	1.482055106	1.536591196	1.48951293	1.399191131	1.386522063	1.321932636
Bornholm_Basin	C1	1																																																																							1.235166342	1.130912235	1.379427752	0.816397209	1.233099777	1.795404868	1.730951844	1.628398692	1.807704488	1.575862031	1.478123132	1.953181257	3.436203485	2.220100545	1.819616863	2.265831875	1.93719104	2.07752746	1.634552035	2.056344831	1.723068982	2.073414622	2.034724433	2.25301842	1.725221195	1.676193075	1.560340582	1.61271814	1.401862172	1.770503253	1.939666856	1.744785456	1.496394002	1.692662622	1.194716442	1.927697783	1.820957818	1.61652791	1.481378753	1.765128369	1.74825684	1.538567475	1.510030567
Bornholm_Basin	C1	5																																																																						1.183039288	1.24850211	1.140475884	1.159000663	1.271048368	1.39105629	1.440850478	1.639111934	1.707664385	1.644208037	1.68865392	2.050214879	2.13269409	2.181445056	2.338986805	2.335788762	2.064053556	1.946943855	1.994289448	1.88573687	1.912981586	1.90442098	2.028114257	1.96188953	1.952514349	1.849899541	1.765498282	1.595267033	1.604323444	1.657018201	1.693907175	1.670642348	1.728802438	1.613645076	1.611251261	1.626485733	1.650512515	1.608255741	1.722338126	1.686449938	1.62997187	1.608672401	1.640495813	1.598951627
Baltic_Proper	C1	1																																																																							1.330099185	1.119324925	1.026498899	1.049064523	1.231753136	1.289594107	1.593977357	1.468587923	1.517310896	1.573341073	1.500263128	1.882966474	1.859402211	1.966901114	2.139700154	1.851412058	1.774529572	1.805359633	1.650317284	1.923000468	1.534441494	2.073361829	1.974051225	2.07533072	1.469519219	1.678068261	1.508496213	1.44401722	1.387984374	1.559811465	1.852818584	1.36536749	1.648530153	1.639474068	1.567726504	1.80440035	1.515635029	1.61842466	1.511467766	1.70069522	1.737445145	1.567370062	1.678484506
Baltic_Proper	C1	5																																																																						1.224712055	1.158641003	1.131246883	1.151348134	1.143247118	1.238177604	1.326595409	1.420244684	1.488562271	1.530696076	1.588493899	1.666656756	1.7565748	1.869846616	1.940076402	1.918389022	1.907580506	1.84426374	1.800923803	1.73752969	1.797296142	1.83103446	1.916037147	1.825340898	1.854066251	1.741093127	1.635086327	1.497617057	1.515675506	1.550625571	1.521999827	1.562902413	1.613200352	1.61478336	1.605099713	1.635153221	1.629132122	1.603530862	1.630124605	1.616733564	1.627080571	1.63909254	1.670998733	1.661099904
Gulf_of_Riga	C1	1																																																																										1.59117418	1.612985487	1.346119421	1.434297187	1.944245183	1.338151567	1.553517284	0.854126239	1.44325439		1.841472667	2.615670769	1.464872996	1.632090803	1.238367488	1.433627948	1.958295328	1.541975117	2.015269533	1.836663499	2.05086211	2.134819213	2.256899771		1.727044057	1.819698833	1.427676205	2.124495171	2.332259353	2.186124448	1.555305643	1.331494973	1.933063724	1.626681695	2.187405129	1.244710991	1.609824209			
Gulf_of_Riga	C1	5																																																																									1.602079834	1.516759696	1.496144069	1.585764292	1.535159769	1.523266128	1.424867492	1.426658933	1.29726237	1.423092645	1.688631016	1.841317706	1.888526809	1.758494945	1.676926001	1.545450913	1.560871337	1.637507083	1.757166285	1.880613118	1.915917894	2.058902825	2.069811148	2.042406288	1.984615468	1.807829716	1.774728566	1.886234724	1.978050802	1.925172164	1.905935918	1.867649628	1.726534096	1.726790233	1.664671302	1.720337149	1.667155506	1.680646776	1.4272676		
