XCoord,YCoord,BASIN,SUBBASIN,BASINID,AREA_KM2
4351675.24287512,3477003.38160938, ,Kiel Bay,NULL,81.645973
4402127.66702163,3471005.57862614, ,Bay of Mecklenburg,NULL,41.601346
4374371.60725534,3470898.56298638, ,Kiel Bay,NULL,24.462826
4332122.09685323,3472806.24397673, ,Kiel Bay,NULL,14.115660
4370221.29827410,3472690.60240177, ,Kiel Bay,NULL,62.461028
4385562.82373706,3448523.46792063, ,Bay of Mecklenburg,NULL,39.209275
4375252.08692286,3436174.32546168, ,Bay of Mecklenburg,NULL,45.572507
4378018.92792113,3427709.22758653, ,Bay of Mecklenburg,NULL,0.851661
4379998.55794852,3424220.00561427, ,Bay of Mecklenburg,NULL,16.350214
4370812.29622498,3421346.69061519, ,Bay of Mecklenburg,NULL,4.216384
4302891.63258377,3491887.34258326, ,Kiel Bay,NULL,22.372095
4538532.50919572,3499313.74968212, ,Arkona Basin,NULL,126.301347
4844506.20168599,4506870.07839361,Gulf of Bothnia,The Quark,8,1096.371554
4879626.62521437,4107485.18958348,Gulf of Bothnia,Åland Sea,5,650.441377
